"Scientific name","Description","Lat","Lon","Status","Link"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",15.7333,121.5333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.2333,125.0333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",15.7667,121.5667,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",12.0333,125.0167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",15.6667,121.3500,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.5167,126.1333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",11.1167,125.0167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",17.9333,121.7667,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",16.5500,122.2833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",15.6667,121.3333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",9.7000,125.4000,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",9.5333,125.8667,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",17.4500,122.1500,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",14.0667,121.4833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.1000,124.4167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.7333,125.0667,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",17.0000,122.0333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",15.4000,121.4167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
