ST5,3127727.532,786129.636,877.252,MAJ5
718,3127555.811,785953.751,839.746,TR
719,3127557.714,785973.987,840.287,TR
720,3127555.245,785950.483,839.196,TR
721,3127551.218,785964.664,839.138,TR
722,3127547.283,785958.559,839.005,TR
723,3127551.714,785967.517,838.721,TR
724,3127547.183,785951.778,838.816,TR
725,3127552.077,785970.747,838.745,TR
726,3127552.236,785973.767,839.875,TR
727,3127542.475,785966.226,838.428,TR
728,3127552.607,785974.827,840.622,TR
729,3127540.818,785960.825,838.392,TR
730,3127541.659,785955.330,838.383,TR
731,3127546.361,785977.021,840.211,TR
732,3127544.110,785970.309,838.492,TR
733,3127545.129,785972.930,838.377,TR
734,3127534.035,785973.171,839.671,TR
735,3127537.248,785981.172,839.777,TR
736,3127533.429,785970.507,839.225,TR
737,3127533.456,785970.538,839.203,TR
738,3127536.398,785977.797,840.005,TR
739,3127536.005,785977.264,839.146,TR
740,3127530.625,785980.357,839.260,TR
741,3127529.610,785978.627,838.803,TR
742,3127532.781,785980.704,840.237,TR
743,3127528.147,785977.882,838.826,TR
744,3127536.228,785982.323,839.751,TR
745,3127537.869,785983.871,839.741,TR
746,3127539.336,785985.456,840.223,TR
747,3127523.453,785985.391,838.617,TR
748,3127523.056,785984.007,838.650,TR
749,3127523.204,785982.676,838.671,TR
750,3127523.128,785987.486,838.673,TR
751,3127523.101,785992.738,838.814,TR
752,3127513.432,785987.103,838.604,TR
753,3127513.921,785983.763,838.533,TR
754,3127513.204,785988.999,838.578,TR
755,3127513.977,785982.276,838.392,TR
756,3127512.750,785991.386,838.589,TR
757,3127504.432,785990.864,837.852,TR
758,3127503.578,785987.837,837.802,TR
759,3127501.299,785985.158,837.843,TR
760,3127503.403,785991.803,837.774,TR
761,3127515.180,785992.277,838.746,TR
762,3127522.150,785993.313,838.923,TR
763,3127522.239,785996.565,838.927,TR
MN2,3127553.835,785993.257,843.057,MN2
MN3,3127497.822,786010.073,839.452,MN3
800,3127493.495,786005.180,837.484,TRDS
801,3127493.759,786004.238,836.761,TRDS
802,3127495.115,786003.054,836.472,TRDS
803,3127496.717,786001.303,836.869,TRDS
804,3127497.895,785997.260,836.771,TRDS
805,3127497.549,785995.997,837.434,TRDS
806,3127492.145,785995.848,836.973,TRDS
807,3127492.262,785996.920,836.372,TRDS
808,3127491.677,786000.068,836.155,TRDS
809,3127490.370,786002.524,836.645,TRDS
810,3127489.936,786004.507,836.978,TRDS
811,3127489.432,786007.003,837.394,TRDS
812,3127481.603,786007.014,836.588,TRDS
813,3127481.357,786004.287,835.961,TRDS
814,3127480.480,786000.035,835.081,TRDS
815,3127479.475,785996.569,836.194,TRDS
816,3127479.420,785995.749,836.801,TRDS
817,3127475.472,786006.397,836.096,TRDS
818,3127479.410,785996.938,836.089,TRDS
819,3127475.243,785995.808,836.609,TRDS
820,3127474.556,786004.045,834.587,TRDS
821,3127473.052,786000.386,835.036,TRDS
822,3127472.355,785997.925,835.589,TRDS
823,3127461.381,786005.360,834.091,TRDS
824,3127461.100,785997.491,835.578,TRDS
825,3127461.694,786007.654,833.651,TRDS
826,3127461.251,785998.852,834.770,TRDS
827,3127461.703,786007.638,833.644,TRDS
828,3127461.522,786000.754,834.670,TRDS
829,3127461.680,786009.312,833.728,TRDS
830,3127449.532,786008.217,832.597,TRDS
831,3127448.990,785999.264,834.539,TRDS
832,3127448.780,786009.714,833.380,TRDS
833,3127448.943,786001.316,833.906,TRDS
834,3127436.166,786013.337,832.604,TRDS
835,3127436.290,786013.274,832.635,TRDS
836,3127435.876,786012.089,831.826,TRDS
837,3127436.319,786000.257,833.466,TRDS
838,3127435.683,786009.128,831.916,TRDS
839,3127436.583,786001.273,833.521,TRDS
840,3127435.475,786007.825,831.744,TRDS
841,3127436.452,786001.184,833.514,TRDS
842,3127436.090,786003.154,832.851,TRDS
843,3127512.962,785999.863,838.665,TRUS
844,3127512.157,786002.995,838.212,TRUS
845,3127511.963,786007.091,837.780,TRUS
846,3127512.332,786009.098,837.645,TRUS
847,3127511.469,786010.058,838.540,TRUS
848,3127511.333,786012.227,839.026,TRUS
849,3127519.715,786020.078,840.336,TRUS
850,3127526.896,786007.946,839.713,TRUS
851,3127521.656,786017.575,839.350,TRUS
852,3127526.549,786009.243,838.871,TRUS
853,3127523.361,786014.526,838.862,TRUS
854,3127524.742,786012.188,838.727,TRUS
855,3127529.704,786024.861,841.643,TRUS
856,3127531.763,786022.899,840.404,TRUS
857,3127538.092,786011.202,841.408,TRUS
858,3127532.837,786022.000,840.200,TRUS
859,3127537.280,786013.655,840.998,TRUS
860,3127534.555,786018.820,840.154,TRUS
861,3127536.315,786015.899,840.121,TRUS
862,3127535.461,786017.192,839.886,TRUS
863,3127537.561,786031.341,842.147,TRUS
864,3127552.024,786015.553,843.396,TRUS
865,3127538.501,786029.738,841.492,TRUS
866,3127551.129,786017.266,842.698,TRUS
867,3127539.837,786027.699,840.805,TRUS
868,3127550.716,786018.227,841.848,TRUS
869,3127543.599,786024.676,841.788,TRUS
870,3127546.109,786022.588,842.464,TRUS
871,3127547.711,786020.047,842.064,TRUS
872,3127546.531,786021.302,841.646,TRUS
873,3127557.096,786029.045,844.487,TRUS
874,3127557.357,786031.736,844.509,TRUS
875,3127563.303,786019.830,845.094,TRUS
876,3127555.632,786036.299,844.468,TRUS
877,3127559.659,786025.302,844.645,TRUS
878,3127553.390,786042.544,845.040,TRUS
879,3127566.942,786048.248,846.746,TRUS
880,3127573.876,786023.278,846.544,TRUS
881,3127568.981,786039.346,845.783,TRUS
882,3127571.904,786034.628,845.414,TRUS
883,3127572.916,786029.771,846.080,TRUS
884,3127572.495,786032.871,845.894,TRUS
885,3127583.479,786051.879,849.557,TRUS
886,3127581.520,786057.203,849.418,TRUS
887,3127587.048,786043.256,849.830,TRUS
888,3127589.030,786034.463,848.937,TRUS
889,3127588.746,786032.374,848.158,TRUS
890,3127605.394,786050.463,851.931,TRUS
891,3127608.680,786047.366,851.569,TRUS
892,3127609.619,786044.851,851.398,TRUS
893,3127608.153,786042.448,852.976,TRUS
894,3127618.853,786058.687,854.364,TRUS
895,3127620.622,786057.194,854.032,TRUS
896,3127621.886,786055.798,854.974,TRUS
897,3127610.026,786065.615,854.054,TRUS
898,3127605.109,786068.464,854.626,TRUS
899,3127581.977,786057.363,849.470,TRUS
900,3127582.204,786058.591,849.844,TRUS
901,3127571.813,786021.724,846.404,TRUS
902,3127572.400,786020.901,847.061,TRUS
