ST7,27742.760,86111.720,878.280,M7
913,27891.550,86072.180,828.640,TLRDS
914,27891.360,86073.250,829.280,TLRDS
915,27891.070,86074.240,829.660,TLRDS
916,27892.300,86068.650,828.450,TLRDS
917,27892.830,86066.340,828.950,TLRDS
918,27893.590,86061.770,828.430,TLRDS
919,27656.720,86017.540,836.810,TLRUS
920,27657.860,86016.830,837.120,TLRUS
921,27660.900,86014.880,837.560,TLRUS
922,27662.720,86012.180,838.090,TLRUS
923,27656.990,86021.490,837.340,TLRUS
924,27656.520,86022.410,838.470,TLRUS
925,27680.900,86017.760,839.180,TLRB
926,27682.350,86014.880,839.150,TLRB
927,27676.120,86011.330,838.990,TLRB
928,27662.630,86031.070,855.920,TLRUS
929,27658.220,86033.220,855.990,TLRUS
930,27658.190,86033.190,855.990,TLRUS
931,27657.270,86034.830,856.360,TLRUS
932,27656.260,86036.450,856.830,TLRUS
933,27665.550,86028.140,856.290,TLRUS
934,27670.830,86025.100,856.640,TLRUS
935,27671.370,86023.140,857.690,TLRUS
936,27655.530,86018.770,854.300,TLRUS
937,27652.440,86020.370,854.600,TLRUS
938,27650.720,86021.720,854.980,TLRUS
939,27651.360,86027.340,855.380,TLRUS
940,27657.710,86020.030,854.770,TLRUS
941,27660.400,86019.250,855.200,TLRUS
942,27664.080,86017.630,855.300,TLRUS
943,27648.960,86007.320,852.070,TLRUS
944,27653.260,86004.750,852.340,TLRUS
945,27654.780,86005.390,852.760,TLRUS
946,27657.620,86003.950,852.930,TLRUS
947,27649.090,86011.120,852.740,TLRUS
948,27647.360,86012.180,853.170,TLRUS
949,27642.070,86009.040,853.110,TLRUS
950,27642.330,85995.750,850.250,TLRUS
951,27645.460,85993.470,850.370,TLRUS
952,27646.620,85992.940,850.710,TLRUS
953,27647.730,85992.150,851.140,TLRUS
954,27639.870,85996.080,850.310,TLRUS
955,27637.480,85997.020,850.260,TLRUS
956,27635.780,85998.850,850.890,TLRUS
957,27632.900,85982.290,847.900,TLRUS
958,27635.900,85980.720,848.450,TLRUS
959,27637.290,85981.320,848.810,TLRUS
960,27637.780,85976.940,849.060,TLRUS
961,27631.110,85987.480,848.450,TLRUS
962,27630.420,85990.890,849.180,TLRUS
963,27630.100,85993.540,849.920,TLRUS
964,27608.460,85969.930,844.710,TLRUS
965,27613.870,85965.680,844.920,TLRUS
966,27615.590,85965.870,845.180,TLRUS
967,27618.080,85964.540,845.830,TLRUS
968,27607.440,85972.750,844.880,TLRUS
969,27601.870,85979.740,844.930,TLRUS
970,27598.810,85983.480,845.950,TLRUS
971,27597.200,85954.170,841.600,TLRUS
972,27598.450,85953.410,841.620,TLRUS
973,27598.330,85953.070,841.820,TLRUS
974,27602.060,85951.790,842.410,TLRUS
975,27592.860,85959.880,841.390,TLRUS
976,27589.760,85962.780,841.710,TLRUS
977,27589.060,85964.980,842.400,TLRUS
978,27582.370,85942.760,839.000,TLRUS
979,27583.470,85942.040,839.320,TLRUS
980,27584.690,85941.770,839.550,TLRUS
981,27587.340,85940.510,840.380,TLRUS
982,27579.680,85945.110,839.270,TLRUS
983,27576.450,85947.990,839.980,TLRUS
984,27574.330,85952.560,842.040,TLRUS
